Subject,Start Date,Start Time,End Date,End Time
отъезд автобусов от м. Тимирязевская в 10 ч.,21-07-2019,09:00:00,21-07-2019,10:00:00
обед,21-07-2019,14:00:00,21-07-2019,15:00:00
квест по знакомству со Школой,21-07-2019,17:00:00,21-07-2019,19:00:00
ужин,21-07-2019,19:00:00,21-07-2019,20:00:00
открытие 3-ого цикла Школы,21-07-2019,20:00:00,21-07-2019,21:30:00
завтрак,22-07-2019,09:00:00,22-07-2019,10:00:00
Математика I,22-07-2019,10:00:00,22-07-2019,11:30:00
дежурство (готовим обед),22-07-2019,12:00:00,22-07-2019,13:30:00
обед,22-07-2019,14:00:00,22-07-2019,15:00:00
Математика II,22-07-2019,17:00:00,22-07-2019,19:00:00
ужин,22-07-2019,19:00:00,22-07-2019,20:00:00
Математика III,22-07-2019,20:00:00,22-07-2019,21:30:00
завтрак,23-07-2019,09:00:00,23-07-2019,10:00:00
Praat I,23-07-2019,10:00:00,23-07-2019,11:30:00
Praat II,23-07-2019,12:00:00,23-07-2019,13:30:00
обед,23-07-2019,14:00:00,23-07-2019,15:00:00
Praat III,23-07-2019,15:00:00,23-07-2019,16:30:00
ужин,23-07-2019,19:00:00,23-07-2019,20:00:00
завтрак,24-07-2019,09:00:00,24-07-2019,10:00:00
Гласные I,24-07-2019,10:00:00,24-07-2019,11:30:00
Гласные III,24-07-2019,12:00:00,24-07-2019,13:30:00
обед,24-07-2019,14:00:00,24-07-2019,15:00:00
Гласные III,24-07-2019,15:00:00,24-07-2019,16:30:00
ужин,24-07-2019,19:00:00,24-07-2019,20:00:00
завтрак,25-07-2019,09:00:00,25-07-2019,10:00:00
Сонорные I,25-07-2019,10:00:00,25-07-2019,11:30:00
Сонорные II,25-07-2019,12:00:00,25-07-2019,13:30:00
обед,25-07-2019,14:00:00,25-07-2019,15:00:00
Сонорные III,25-07-2019,15:00:00,25-07-2019,16:30:00
ужин,25-07-2019,19:00:00,25-07-2019,20:00:00
дежурство (моем посуду),25-07-2019,20:00:00,25-07-2019,21:30:00
завтрак,26-07-2019,09:00:00,26-07-2019,10:00:00
Шумные I,26-07-2019,10:00:00,26-07-2019,11:30:00
Шумные II,26-07-2019,12:00:00,26-07-2019,13:30:00
обед,26-07-2019,14:00:00,26-07-2019,15:00:00
Шумные III,26-07-2019,15:00:00,26-07-2019,16:30:00
ужин,26-07-2019,19:00:00,26-07-2019,20:00:00
дежурство (готовим завтрак),27-07-2019,07:30:00,27-07-2019,09:00:00
завтрак,27-07-2019,09:00:00,27-07-2019,10:00:00
Просодия I,27-07-2019,12:00:00,27-07-2019,13:30:00
обед,27-07-2019,14:00:00,27-07-2019,15:00:00
Просодия II,27-07-2019,15:00:00,27-07-2019,16:30:00
Просодия III,27-07-2019,17:00:00,27-07-2019,19:00:00
ужин,27-07-2019,19:00:00,27-07-2019,20:00:00
завтрак,28-07-2019,09:00:00,28-07-2019,10:00:00
обед,28-07-2019,14:00:00,28-07-2019,15:00:00
ужин,28-07-2019,19:00:00,28-07-2019,20:00:00
