token,pos
THIS,DET
SIDE,NOUN
OF,ADP
PARADISE,PROPN
By,ADP
F.,PROPN
Scott,PROPN
Fitzgerald,PROPN
...,SYM
Well,INTJ
this,DET
side,NOUN
of,ADP
Paradise,NOUN
!...,PUNCT
There,PRON
's,VERB
little,ADJ
comfort,NOUN
in,ADP
the,DET
wise,NOUN
.,PUNCT
--,PUNCT
Rupert,PROPN
Brooke,PROPN
.,PUNCT
Experience,NOUN
is,AUX
the,DET
name,NOUN
so,ADV
many,ADJ
people,NOUN
give,VERB
to,ADP
their,PRON
mistakes,NOUN
.,PUNCT
--,PUNCT
Oscar,PROPN
Wilde,PROPN
.,PUNCT
To,ADP
SIGOURNEY,PROPN
FAY,PROPN
CONTENTS,NOUN
BOOK,INTJ
ONE,NUM
:,PUNCT
The,DET
Romantic,PROPN
Egotist,PROPN
1,X
.,PUNCT
AMORY,INTJ
",",PUNCT
SON,PROPN
OF,ADP
BEATRICE,PROPN
2,X
.,PUNCT
SPIRES,NOUN
AND,CCONJ
GARGOYLES,NOUN
3,X
.,PUNCT
THE,DET
EGOTIST,ADJ
CONSIDERS,NOUN
4,X
.,PUNCT
NARCISSUS,PROPN
OFF,PROPN
DUTY,PROPN
[,PUNCT
INTERLUDE,VERB
:,PUNCT
MAY,VERB
",",PUNCT
1917,NUM
-FEBRUARY,NOUN
",",PUNCT
1919,NUM
.,PUNCT
],PUNCT
BOOK,INTJ
TWO,NUM
:,PUNCT
The,DET
Education,NOUN
of,ADP
a,DET
Personage,NOUN
1,X
.,PUNCT
THE,DET
DEBUTANTE,NOUN
2,X
.,PUNCT
EXPERIMENTS,NOUN
IN,ADP
CONVALESCENCE,PROPN
3,X
.,PUNCT
YOUNG,ADP
IRONY,PROPN
4,X
.,PUNCT
THE,DET
SUPERCILIOUS,PROPN
SACRIFICE,PROPN
5,X
.,PUNCT
THE,DET
EGOTIST,PROPN
BECOMES,PROPN
A,PROPN
PERSONAGE,PROPN
BOOK,INTJ
ONE,NUM
--,PUNCT
The,DET
Romantic,PROPN
Egotist,PROPN
CHAPTER,NOUN
1,NUM
.,PUNCT
Amory,NOUN
",",PUNCT
Son,PROPN
of,ADP
Beatrice,PROPN
Amory,PROPN
Blaine,PROPN
inherited,VERB
from,ADP
his,PRON
mother,NOUN
every,DET
trait,NOUN
",",PUNCT
except,ADP
the,DET
stray,ADJ
inexpressible,ADJ
few,ADJ
",",PUNCT
that,PRON
made,VERB
him,PRON
worth,ADJ
while,NOUN
.,PUNCT
His,PRON
father,NOUN
",",PUNCT
an,DET
ineffectual,ADJ
",",PUNCT
inarticulate,ADJ
man,NOUN
with,ADP
a,DET
taste,NOUN
for,ADP
Byron,PROPN
and,CCONJ
a,DET
habit,NOUN
of,ADP
drowsing,VERB
over,ADP
the,DET
Encyclopedia,PROPN
Britannica,PROPN
",",PUNCT
grew,VERB
wealthy,ADV
at,ADP
thirty,NUM
through,ADP
the,DET
death,NOUN
of,ADP
two,NUM
elder,ADJ
brothers,NOUN
",",PUNCT
successful,ADJ
Chicago,PROPN
brokers,NOUN
",",PUNCT
and,CCONJ
in,ADP
the,DET
first,ADJ
flush,NOUN
of,ADP
feeling,NOUN
that,SCONJ
the,DET
world,NOUN
was,AUX
his,PRON
",",PUNCT
went,VERB
to,ADP
Bar,PROPN
Harbor,PROPN
and,CCONJ
met,VERB
Beatrice,PROPN
O'Hara,PROPN
.,PUNCT
In,ADP
consequence,NOUN
",",PUNCT
Stephen,PROPN
Blaine,PROPN
handed,VERB
down,ADV
to,ADP
posterity,NOUN
his,PRON
height,NOUN
of,ADP
just,ADV
under,ADP
six,NUM
feet,NOUN
and,CCONJ
his,PRON
tendency,NOUN
to,PART
waver,VERB
at,ADP
crucial,ADJ
moments,NOUN
",",PUNCT
these,DET
two,NUM
abstractions,NOUN
appearing,VERB
in,ADP
his,PRON
son,NOUN
Amory,PROPN
.,PUNCT
For,ADP
many,ADJ
years,NOUN
he,PRON
hovered,VERB
in,ADP
the,DET
background,NOUN
of,ADP
his,PRON
family,NOUN
's,PART
life,NOUN
",",PUNCT
an,DET
unassertive,ADJ
figure,NOUN
with,ADP
a,DET
face,NOUN
half,NOUN
-,PUNCT
obliterated,VERB
by,ADP
lifeless,NOUN
",",PUNCT
silky,NUM
hair,NOUN
",",PUNCT
continually,ADV
occupied,VERB
in,ADP
"""",PUNCT
taking,VERB
care,NOUN
"""",PUNCT
of,ADP
his,PRON
wife,NOUN
",",PUNCT
continually,ADV
harassed,VERB
by,ADP
the,DET
idea,NOUN
that,SCONJ
he,PRON
did,AUX
n't,PART
and,CCONJ
could,AUX
n't,PART
understand,VERB
her,PRON
.,PUNCT
But,CCONJ
Beatrice,PROPN
Blaine,PROPN
!,PUNCT
There,PRON
was,AUX
a,DET
woman,NOUN
!,PUNCT
Early,ADJ
pictures,NOUN
taken,VERB
on,ADP
her,PRON
father,NOUN
's,PART
estate,NOUN
at,ADP
Lake,PROPN
Geneva,PROPN
",",PUNCT
Wisconsin,PROPN
",",PUNCT
or,CCONJ
in,ADP
Rome,PROPN
at,ADP
the,DET
Sacred,PROPN
Heart,PROPN
Convent,PROPN
--,PUNCT
an,DET
educational,ADJ
extravagance,NOUN
that,PRON
in,ADP
her,PRON
youth,NOUN
was,AUX
only,ADV
for,ADP
the,DET
daughters,NOUN
of,ADP
the,DET
exceptionally,ADV
wealthy,ADJ
--,PUNCT
showed,VERB
the,DET
exquisite,NOUN
delicacy,NOUN
of,ADP
her,PRON
features,NOUN
",",PUNCT
the,DET
consummate,ADJ
art,NOUN
and,CCONJ
simplicity,NOUN
of,ADP
her,PRON
clothes,NOUN
.,PUNCT
A,DET
brillia,NOUN
nt,PART
education,NOUN
she,PRON
had,VERB
--,PUNCT
her,PRON
youth,NOUN
passed,VERB
in,ADP
renaissance,PROPN
glory,INTJ
",",PUNCT
she,PRON
was,AUX
versed,VERB
in,ADP
the,DET
latest,ADJ
gossip,NOUN
of,ADP
the,DET
Older,PROPN
Roman,PROPN
Families,PROPN
;,PUNCT
known,VERB
by,ADP
name,NOUN
as,ADP
a,DET
fabulously,ADV
wealthy,ADJ
American,ADJ
girl,NOUN
to,ADP
Cardinal,PROPN
Vitori,PROPN
and,CCONJ
Queen,PROPN
Margherita,PROPN
and,CCONJ
more,ADV
subtle,ADJ
celebrities,NOUN
that,ADV
one,NUM
must,AUX
have,AUX
had,VERB
some,DET
culture,NOUN
even,ADV
to,PART
have,AUX
heard,VERB
of,ADP
.,PUNCT
She,PRON
learned,VERB
in,ADP
England,PROPN
to,PART
prefer,VERB
whiskey,NOUN
and,CCONJ
soda,NOUN
to,ADP
wine,NOUN
",",PUNCT
and,CCONJ
her,PRON
small,ADJ
talk,NOUN
was,AUX
broadened,VERB
in,ADP
two,NUM
senses,NOUN
during,ADP
a,DET
winter,NOUN
in,ADP
Vienna,PROPN
.,PUNCT
All,DET
in,ADP
all,DET
Beatrice,PROPN
O'Hara,PROPN
absorbed,VERB
the,DET
sort,ADV
of,ADP
education,NOUN
that,PRON
will,AUX
be,AUX
quite,ADV
impossible,ADJ
ever,ADV
again,ADV
;,PUNCT
a,DET
tutelage,NOUN
measured,VERB
by,ADP
the,DET
number,NOUN
of,ADP
things,NOUN
and,CCONJ
people,NOUN
one,PRON
could,AUX
be,AUX
contemptuous,NOUN
of,ADP
and,CCONJ
charming,VERB
about,ADV
;,PUNCT
a,DET
culture,NOUN
rich,ADJ
in,ADP
all,DET
arts,NOUN
and,CCONJ
traditions,NOUN
",",PUNCT
barren,NUM
of,ADP
all,DET
ideas,NOUN
",",PUNCT
in,ADP
the,DET
last,ADJ
of,ADP
those,DET
days,NOUN
when,ADV
the,DET
great,ADJ
gardener,NOUN
clipped,VERB
the,DET
inferior,ADJ
roses,NOUN
to,PART
produce,VERB
one,NUM
perfect,ADJ
bud,NOUN
.,PUNCT
In,ADP
her,PRON
less,ADJ
important,ADJ
moments,NOUN
she,PRON
returned,VERB
to,ADP
America,PROPN
",",PUNCT
met,VERB
Stephen,PROPN
Blaine,PROPN
and,CCONJ
married,VERB
him,PRON
--,PUNCT
this,PRON
almost,ADV
entirely,ADV
because,SCONJ
she,PRON
was,AUX
a,DET
little,ADJ
bit,NOUN
weary,NOUN
",",PUNCT
a,DET
little,ADJ
bit,NOUN
sad,ADJ
.,PUNCT
Her,PRON
only,ADV
child,NOUN
was,AUX
carried,VERB
through,ADV
a,DET
tiresome,ADJ
season,NOUN
and,CCONJ
brought,VERB
into,ADP
the,DET
world,NOUN
on,ADP
a,DET
spring,NOUN
day,NOUN
in,ADV
ninety,INTJ
-,PUNCT
six,NUM
.,PUNCT
When,ADV
Amory,PROPN
was,AUX
five,NUM
he,PRON
was,AUX
already,ADV
a,DET
delightful,ADJ
companion,NOUN
for,ADP
her,PRON
.,PUNCT
He,PRON
was,AUX
an,DET
auburn,ADJ
-haired,ADJ
boy,NOUN
",",PUNCT
with,ADP
great,ADJ
",",PUNCT
handsome,ADJ
eyes,NOUN
which,PRON
he,PRON
would,AUX
grow,VERB
up,ADV
to,ADP
in,ADP
time,NOUN
",",PUNCT
a,DET
facile,ADJ
imaginative,ADJ
mind,NOUN
and,CCONJ
a,DET
taste,NOUN
for,ADP
fancy,ADJ
dress,NOUN
.,PUNCT
From,ADP
his,PRON
fourth,ADJ
to,ADP
his,PRON
tenth,NOUN
year,NOUN
he,PRON
did,VERB
the,DET
country,NOUN
with,ADP
his,PRON
mother,NOUN
in,ADP
her,PRON
father,NOUN
's,PART
private,ADJ
car,NOUN
",",PUNCT
from,ADP
Coronado,PROPN
",",PUNCT
where,ADV
his,PRON
mother,NOUN
became,VERB
so,ADV
bored,VERB
that,SCONJ
she,PRON
had,VERB
a,DET
nervous,ADJ
breakdown,NOUN
in,ADP
a,DET
fashionable,ADJ
hotel,NOUN
",",PUNCT
down,ADV
to,ADP
Mexico,PROPN
City,PROPN
",",PUNCT
where,ADV
she,PRON
took,VERB
a,DET
mild,ADJ
",",PUNCT
almost,ADV
epidemic,ADJ
consumption,NOUN
.,PUNCT
This,DET
trouble,ADJ
pleased,ADJ
her,PRON
",",PUNCT
and,CCONJ
later,ADV
she,PRON
made,VERB
use,NOUN
of,ADP
it,PRON
as,ADP
an,DET
intrinsic,ADJ
part,NOUN
of,ADP
her,PRON
atmosphere,NOUN
--,PUNCT
especially,ADV
after,ADP
several,ADJ
astounding,ADJ
bracers,NOUN
.,PUNCT
So,ADV
",",PUNCT
while,SCONJ
more,ADJ
or,CCONJ
less,ADJ
fortunate,ADJ
little,ADJ
rich,ADJ
boys,NOUN
were,AUX
defying,VERB
governesses,NOUN
on,ADP
the,DET
beach,NOUN
at,ADP
Newport,PROPN
",",PUNCT
or,CCONJ
being,AUX
spanked,VERB
or,CCONJ
tutored,VERB
or,CCONJ
read,VERB
to,ADP
from,ADP
"""",PUNCT
Do,PROPN
and,CCONJ
Dare,PROPN
",",PUNCT
"""",PUNCT
or,CCONJ
"""",PUNCT
Frank,PROPN
on,ADP
the,DET
Mississippi,PROPN
",",PUNCT
"""",PUNCT
Amory,PROPN
was,AUX
biting,VERB
acquiescent,ADJ
bell,NOUN
-,PUNCT
boys,NOUN
in,ADP
the,DET
Waldorf,PROPN
",",PUNCT
outgrowing,VERB
a,DET
natural,ADJ
repugnance,NOUN
to,PART
chamber,VERB
music,NOUN
and,CCONJ
symphonies,NOUN
",",PUNCT
and,CCONJ
deriving,VERB
a,DET
highly,ADV
specialized,VERB
education,NOUN
from,ADP
his,PRON
mother,NOUN
.,PUNCT
"""",PUNCT
Amory,PROPN
.,PUNCT
"""",PUNCT
"""",PUNCT
Yes,INTJ
",",PUNCT
Beatrice,PROPN
.,PUNCT
"""",PUNCT
(,PUNCT
Such,DET
a,DET
quaint,NOUN
name,NOUN
for,ADP
his,PRON
mother,NOUN
;,PUNCT
she,PRON
encouraged,VERB
it,PRON
.,PUNCT
),PUNCT
"""",PUNCT
Dear,ADJ
",",PUNCT
do,AUX
n't,PART
_think_,SYM
of,SCONJ
getting,VERB
out,ADP
of,ADP
bed,NOUN
yet,ADV
.,PUNCT
I,PRON
've,AUX
always,ADV
suspected,VERB
that,SCONJ
early,ADV
rising,VERB
in,ADP
early,ADJ
life,NOUN
makes,VERB
one,NUM
nervous,ADJ
.,PUNCT
Clothilde,PROPN
is,AUX
having,VERB
your,PRON
breakfast,NOUN
brought,VERB
up,ADV
.,PUNCT
"""",PUNCT
"""",PUNCT
All,DET
right,ADJ
.,PUNCT
"""",PUNCT
"""",PUNCT
I,PRON
am,AUX
feeling,VERB
very,ADV
old,ADJ
to,ADP
-,PUNCT
day,NOUN
