year,marital,age,race,rincome,partyid,relig,denom,tvhours
2006,Never married,50,Black,$25000 or more,democrat,None,Not applicable,NA
2006,Never married,27,Other,$25000 or more,republican,Catholic,Not applicable,1
2006,Divorced,67,White,Not applicable,democrat,Catholic,Not applicable,2
2006,Never married,50,Black,$1000 to 2999,democrat,Protestant,No denomination,6
2006,Never married,20,Black,Not applicable,democrat,Catholic,Not applicable,4
2006,Married,35,Other,$25000 or more,democrat,Protestant,United methodist,1
2006,Widowed,29,Black,Refused,other party,Protestant,Other,NA
2006,Never married,32,Black,$1000 to 2999,democrat,Christian,Don't know,NA
2006,Never married,23,Black,$25000 or more,democrat,None,Not applicable,NA
2006,Never married,32,Other,Refused,democrat,None,Not applicable,3
2006,Widowed,81,Black,Not applicable,democrat,Protestant,Am baptist asso,NA
2006,Never married,47,Black,Not applicable,other party,Catholic,Not applicable,2
2006,Never married,26,Black,Not applicable,republican,Buddhism,Not applicable,NA
2006,Divorced,60,Black,$25000 or more,democrat,Catholic,Not applicable,2
2006,Married,34,White,Not applicable,other party,Jewish,Not applicable,0
2006,Never married,37,Black,$25000 or more,democrat,Protestant,Southern baptist,NA
2006,Never married,68,Black,Not applicable,other party,Protestant,Other,6
2006,Never married,18,Black,Not applicable,democrat,Protestant,Baptist-dk which,3
2006,Never married,25,Black,$4000 to 4999,democrat,Catholic,Not applicable,NA
2006,Never married,24,Black,Not applicable,other party,Catholic,Not applicable,NA
2006,Never married,38,Black,Refused,democrat,Protestant,Am lutheran,4
2006,Never married,41,Black,$10000 - 14999,democrat,Protestant,No denomination,NA
2006,Never married,35,Black,$25000 or more,democrat,Protestant,Other,NA
2006,Never married,26,Black,Not applicable,democrat,Protestant,Other baptists,NA
2006,Never married,35,Black,Not applicable,republican,Moslem/islam,Not applicable,NA
2006,Married,52,Other,Not applicable,other party,Protestant,Lutheran-dk which,NA
2006,Never married,30,Black,$25000 or more,other party,Catholic,Not applicable,NA
2006,Married,62,Black,Not applicable,democrat,Protestant,Other,3
2006,Separated,57,Black,Not applicable,democrat,Protestant,Other,NA
2006,Divorced,56,Other,Refused,democrat,None,Not applicable,NA
2006,Separated,65,White,Not applicable,other party,Catholic,Not applicable,NA
2006,Married,47,Black,$20000 - 24999,democrat,Protestant,Southern baptist,NA
2006,Divorced,30,White,$8000 to 9999,democrat,Catholic,Not applicable,6
2006,Married,31,White,Refused,other party,Jewish,Not applicable,2
2006,Divorced,45,White,$10000 - 14999,other party,Christian,No denomination,NA
2006,Married,38,White,$15000 - 19999,other party,Jewish,Not applicable,NA
2006,Married,37,White,$25000 or more,other party,Catholic,Not applicable,NA
2006,Never married,43,Black,Refused,other party,None,Not applicable,NA
2006,Separated,25,White,Not applicable,democrat,Catholic,Not applicable,6
2006,Never married,57,Other,Refused,democrat,Protestant,Baptist-dk which,2
2006,Married,52,White,Refused,other party,None,Not applicable,NA
2006,Married,45,White,$25000 or more,democrat,Catholic,Not applicable,2
2006,Widowed,79,White,Not applicable,other party,Catholic,Not applicable,4
2006,Never married,30,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Divorced,74,White,Not applicable,republican,Catholic,Not applicable,NA
2006,Married,63,White,Refused,other party,Protestant,Episcopal,3
2006,Married,40,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Never married,20,Other,$6000 to 6999,democrat,None,Not applicable,NA
2006,Married,58,White,Don't know,democrat,Catholic,Not applicable,NA
2006,Never married,41,Black,Refused,democrat,None,Not applicable,6
2006,Widowed,69,Black,Not applicable,democrat,Catholic,Not applicable,5
2006,Married,31,White,$15000 - 19999,democrat,Catholic,Not applicable,NA
2006,Never married,30,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Never married,36,White,$25000 or more,democrat,Catholic,Not applicable,2
2006,Widowed,70,White,Refused,democrat,Jewish,Not applicable,2
2006,Never married,36,Other,Refused,other party,No answer,No answer,NA
2006,Married,68,White,Refused,democrat,Jewish,Not applicable,1
2006,Never married,29,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Never married,24,White,$25000 or more,democrat,None,Not applicable,NA
2006,Divorced,53,White,Refused,other party,None,Not applicable,1
2006,Married,38,Other,Don't know,other party,Buddhism,Not applicable,NA
2006,Married,68,White,Not applicable,democrat,Orthodox-christian,Not applicable,NA
2006,Married,59,Other,$10000 - 14999,other party,Catholic,Not applicable,6
2006,Married,35,Other,Not applicable,republican,Protestant,Presbyterian-dk wh,1
2006,Divorced,39,Other,$25000 or more,democrat,Catholic,Not applicable,2
2006,Married,46,Other,Not applicable,democrat,Moslem/islam,Not applicable,3
2006,Married,70,Other,Not applicable,other party,Hinduism,Not applicable,NA
2006,Divorced,48,Other,Refused,democrat,None,Not applicable,NA
2006,Married,54,Other,Refused,democrat,None,Not applicable,3
2006,Widowed,88,White,Not applicable,democrat,Jewish,Not applicable,NA
2006,Married,66,Other,Not applicable,democrat,Protestant,Other,1
2006,Married,62,Other,$25000 or more,other party,Buddhism,Not applicable,NA
2006,Married,36,White,Not applicable,republican,Protestant,Other baptists,1
2006,Married,71,White,Don't know,other party,Jewish,Not applicable,3
2006,Married,71,White,Not applicable,democrat,Jewish,Not applicable,NA
2006,Divorced,37,White,Not applicable,democrat,Jewish,Not applicable,NA
2006,Separated,33,Other,Refused,democrat,Catholic,Not applicable,4
2006,Married,42,Other,$25000 or more,democrat,Protestant,United methodist,1
2006,Married,28,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Never married,55,Black,Not applicable,democrat,None,Not applicable,5
2006,Married,43,White,Not applicable,republican,Catholic,Not applicable,3
2006,Widowed,74,White,Not applicable,democrat,Catholic,Not applicable,5
2006,Married,32,Other,$1000 to 2999,other party,None,Not applicable,3
2006,Widowed,49,White,Not applicable,democrat,Catholic,Not applicable,5
2006,Married,32,White,$1000 to 2999,other party,Catholic,Not applicable,NA
2006,Never married,48,White,Not applicable,republican,Protestant,Baptist-dk which,2
2006,Never married,33,White,Not applicable,other party,Protestant,No denomination,NA
2006,Widowed,75,White,Not applicable,democrat,Catholic,Not applicable,9
2006,Married,53,White,$25000 or more,other party,Catholic,Not applicable,NA
2006,Married,44,White,$25000 or more,democrat,Catholic,Not applicable,2
2006,Married,85,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,58,White,Not applicable,democrat,Jewish,Not applicable,3
2006,Married,40,White,Refused,republican,Protestant,Other,NA
2006,Married,37,White,Refused,democrat,Jewish,Not applicable,NA
2006,Never married,26,White,$20000 - 24999,other party,Catholic,Not applicable,2
2006,Married,45,White,Refused,other party,Catholic,Not applicable,NA
2006,Married,46,Black,$20000 - 24999,other party,Protestant,Other,NA
